"","Family","no_fish_species","source"
"1","Cyprinidae",2562,"FishBase"
"2","Gobiidae",1557,"FishBase"
"3","Cichlidae",1416,"FishBase"
"4","Characidae",943,"FishBase"
"5","Loricariidae",824,"FishBase"
"6","Nemacheilidae",614,"FishBase"
"7","Serranidae",511,"FishBase"
"8","Labridae",481,"FishBase"
"9","Liparidae",390,"FishBase"
"10","Macrouridae",384,"FishBase"
"11","Blenniidae",375,"FishBase"
"12","Pomacentridae",374,"FishBase"
"13","Rivulidae",363,"FishBase"
"14","Apogonidae",345,"FishBase"
"15","Poeciliidae",341,"FishBase"
"16","Ophichthidae",297,"FishBase"
"17","Syngnathidae",286,"FishBase"
"18","Zoarcidae",278,"FishBase"
"19","Trichomycteridae",271,"FishBase"
"20","Sciaenidae",263,"FishBase"
"21","Stomiidae",258,"FishBase"
"22","Cobitidae",249,"FishBase"
"23","Nothobranchiidae",248,"FishBase"
"24","Cottidae",243,"FishBase"
"25","Myctophidae",243,"FishBase"
"26","Ophidiidae",241,"FishBase"
"27","Balitoridae",238,"FishBase"
"28","Percidae",235,"FishBase"
"29","Bagridae",225,"FishBase"
"30","Salmonidae",223,"FishBase"
"31","Scorpaenidae",212,"FishBase"
"32","Heptapteridae",205,"FishBase"
"33","Mormyridae",205,"FishBase"
"34","Bythitidae",203,"FishBase"
"35","Callichthyidae",202,"FishBase"
"36","Sisoridae",201,"FishBase"
"37","Mochokidae",199,"FishBase"
"38","Muraenidae",198,"FishBase"
"39","Tetraodontidae",194,"FishBase"
"40","Congridae",190,"FishBase"
"41","Clupeidae",189,"FishBase"
"42","Callionymidae",186,"FishBase"
"43","Rajidae",177,"FishBase"
"44","Eleotridae",174,"FishBase"
"45","Soleidae",170,"FishBase"
"46","Tripterygiidae",168,"FishBase"
"47","Bothidae",161,"FishBase"
"48","Gobiesocidae",155,"FishBase"
"49","Ariidae",151,"FishBase"
"50","Scyliorhinidae",149,"FishBase"
"51","Anostomidae",148,"FishBase"
"52","Pseudochromidae",148,"FishBase"
"53","Carangidae",145,"FishBase"
"54","Sparidae",145,"FishBase"
"55","Engraulidae",144,"FishBase"
"56","Cynoglossidae",141,"FishBase"
"57","Cyprinodontidae",137,"FishBase"
"58","Sebastidae",132,"FishBase"
"59","Haemulidae",130,"FishBase"
"60","Osphronemidae",129,"FishBase"
"61","Chaetodontidae",128,"FishBase"
"62","Triglidae",125,"FishBase"
"63","Labrisomidae",118,"FishBase"
"64","Clariidae",114,"FishBase"
"65","Alestidae",113,"FishBase"
"66","Auchenipteridae",112,"FishBase"
"67","Pimelodidae",110,"FishBase"
"68","Paralichthyidae",109,"FishBase"
"69","Lutjanidae",108,"FishBase"
"70","Atherinopsidae",107,"FishBase"
"71","Monacanthidae",107,"FishBase"
"72","Siluridae",107,"FishBase"
"73","Moridae",105,"FishBase"
"74","Curimatidae",103,"FishBase"
"75","Arhynchobatidae",101,"FishBase"
"76","Pleuronectidae",100,"FishBase"
"77","Scaridae",100,"FishBase"
"78","Distichodontidae",96,"FishBase"
"79","Chaenopsidae",95,"FishBase"
"80","Alepocephalidae",94,"FishBase"
"81","Amphiliidae",91,"FishBase"
"82","Serrasalmidae",91,"FishBase"
"83","Doradidae",90,"FishBase"
"84","Dasyatidae",89,"FishBase"
"85","Pomacanthidae",88,"FishBase"
"86","Apteronotidae",87,"FishBase"
"87","Clinidae",87,"FishBase"
"88","Microdesmidae",85,"FishBase"
"89","Crenuchidae",84,"FishBase"
"90","Mastacembelidae",84,"FishBase"
"91","Melanotaeniidae",84,"FishBase"
"92","Holocentridae",83,"FishBase"
"93","Mullidae",83,"FishBase"
"94","Pinguipedidae",83,"FishBase"
"95","Acanthuridae",81,"FishBase"
"96","Batrachoididae",80,"FishBase"
"97","Opistognathidae",80,"FishBase"
"98","Platycephalidae",80,"FishBase"
"99","Catostomidae",78,"FishBase"
"100","Claroteidae",78,"FishBase"
"101","Mugilidae",76,"FishBase"
"102","Myxinidae",76,"FishBase"
"103","Ogcocephalidae",75,"FishBase"
"104","Lebiasinidae",74,"FishBase"
"105","Sternoptychidae",73,"FishBase"
"106","Atherinidae",71,"FishBase"
"107","Stichaeidae",71,"FishBase"
"108","Synodontidae",70,"FishBase"
"109","Exocoetidae",69,"FishBase"
"110","Nemipteridae",67,"FishBase"
"111","Schilbeidae",66,"FishBase"
"112","Oneirodidae",64,"FishBase"
"113","Hemiramphidae",63,"FishBase"
"114","Melamphaidae",63,"FishBase"
"115","Rhinobatidae",61,"FishBase"
"116","Zenarchopteridae",59,"FishBase"
"117","Carcharhinidae",58,"FishBase"
"118","Akysidae",57,"FishBase"
"119","Nototheniidae",57,"FishBase"
